constraint_name,table_name,column_name,referenced_table,referenced_column
categories_store_id_fkey,categories,store_id,stores,id
checkout_sessions_store_id_fkey,checkout_sessions,store_id,stores,id
checkout_sessions_order_id_fkey,checkout_sessions,order_id,orders,id
mp_accounts_store_fk,mp_accounts,store_id,stores,id
order_items_order_id_fkey,order_items,order_id,orders,id
order_items_product_id_fkey,order_items,product_id,products,id
orders_store_id_fkey,orders,store_id,stores,id
payments_order_id_fkey,payments,order_id,orders,id
payments_store_id_fkey,payments,store_id,stores,id
product_option_values_option_id_fkey,product_option_values,option_id,product_options,id
product_options_product_id_fkey,product_options,product_id,products,id
products_category_id_fkey,products,category_id,categories,id
products_store_id_fkey,products,store_id,stores,id
push_subscriptions_store_id_fkey,push_subscriptions,store_id,stores,id
store_settings_store_id_fkey,store_settings,store_id,stores,id
stores_subscription_id_fkey,stores,subscription_id,subscriptions,id
subscription_payments_subscription_id_fkey,subscription_payments,subscription_id,subscriptions,id
subscription_payments_plan_id_fkey,subscription_payments,plan_id,subscription_plans,id
subscription_usage_subscription_id_fkey,subscription_usage,subscription_id,subscriptions,id
subscriptions_plan_id_fkey,subscriptions,plan_id,subscription_plans,id
subscriptions_store_id_fkey,subscriptions,store_id,stores,id
whatsapp_message_queue_order_id_fkey,whatsapp_message_queue,order_id,orders,id
whatsapp_message_queue_store_id_fkey,whatsapp_message_queue,store_id,stores,id
whatsapp_webhook_events_store_id_fkey,whatsapp_webhook_events,store_id,stores,id