schemaname,tablename,indexname,indexdef
public,categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id)
public,categories,idx_categories_store,CREATE INDEX idx_categories_store ON public.categories USING btree (store_id)
public,checkout_sessions,checkout_sessions_external_reference_key,CREATE UNIQUE INDEX checkout_sessions_external_reference_key ON public.checkout_sessions USING btree (external_reference)
public,checkout_sessions,checkout_sessions_pkey,CREATE UNIQUE INDEX checkout_sessions_pkey ON public.checkout_sessions USING btree (id)
public,mp_accounts,mp_accounts_mp_user_unique,CREATE UNIQUE INDEX mp_accounts_mp_user_unique ON public.mp_accounts USING btree (mp_user_id)
public,mp_accounts,mp_accounts_store_unique,CREATE UNIQUE INDEX mp_accounts_store_unique ON public.mp_accounts USING btree (store_id)
public,mp_accounts,idx_mp_accounts_mp_user_id,CREATE INDEX idx_mp_accounts_mp_user_id ON public.mp_accounts USING btree (mp_user_id)
public,mp_accounts,idx_mp_accounts_store_id,CREATE INDEX idx_mp_accounts_store_id ON public.mp_accounts USING btree (store_id)
public,mp_accounts,mp_accounts_pkey,CREATE UNIQUE INDEX mp_accounts_pkey ON public.mp_accounts USING btree (id)
public,order_items,idx_order_items_order,CREATE INDEX idx_order_items_order ON public.order_items USING btree (order_id)
public,order_items,order_items_pkey,CREATE UNIQUE INDEX order_items_pkey ON public.order_items USING btree (id)
public,orders,idx_orders_store,CREATE INDEX idx_orders_store ON public.orders USING btree (store_id)
public,orders,idx_orders_status,CREATE INDEX idx_orders_status ON public.orders USING btree (status)
public,orders,orders_pkey,CREATE UNIQUE INDEX orders_pkey ON public.orders USING btree (id)
public,payments,payments_provider_provider_payment_id_key,"CREATE UNIQUE INDEX payments_provider_provider_payment_id_key ON public.payments USING btree (provider, provider_payment_id)"
public,payments,payments_pkey,CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (id)
public,payments,payments_order_id_idx,CREATE INDEX payments_order_id_idx ON public.payments USING btree (order_id)
public,payments,payments_store_id_idx,CREATE INDEX payments_store_id_idx ON public.payments USING btree (store_id)
public,payments,payments_mp_payment_id_idx,CREATE INDEX payments_mp_payment_id_idx ON public.payments USING btree (mp_payment_id)
public,payments,payments_provider_idx,CREATE INDEX payments_provider_idx ON public.payments USING btree (provider)
public,payments,payments_provider_payment_id_unique,"CREATE UNIQUE INDEX payments_provider_payment_id_unique ON public.payments USING btree (provider, provider_payment_id) WHERE (provider_payment_id IS NOT NULL)"
public,product_option_values,product_option_values_pkey,CREATE UNIQUE INDEX product_option_values_pkey ON public.product_option_values USING btree (id)
public,product_options,idx_product_options_type,CREATE INDEX idx_product_options_type ON public.product_options USING btree (type)
public,product_options,product_options_pkey,CREATE UNIQUE INDEX product_options_pkey ON public.product_options USING btree (id)
public,products,idx_products_store,CREATE INDEX idx_products_store ON public.products USING btree (store_id)
public,products,idx_products_category,CREATE INDEX idx_products_category ON public.products USING btree (category_id)
public,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
public,push_subscriptions,push_subscriptions_pkey,CREATE UNIQUE INDEX push_subscriptions_pkey ON public.push_subscriptions USING btree (id)
public,push_subscriptions,push_subscriptions_store_id_key,CREATE UNIQUE INDEX push_subscriptions_store_id_key ON public.push_subscriptions USING btree (store_id)
public,push_subscriptions,idx_push_subscriptions_endpoint,CREATE INDEX idx_push_subscriptions_endpoint ON public.push_subscriptions USING btree (endpoint)
public,push_subscriptions,idx_push_subscriptions_store_id,CREATE INDEX idx_push_subscriptions_store_id ON public.push_subscriptions USING btree (store_id)
public,store_settings,idx_store_settings_wa_phone_number_id,CREATE INDEX idx_store_settings_wa_phone_number_id ON public.store_settings USING btree (wa_phone_number_id)
public,store_settings,store_settings_pkey,CREATE UNIQUE INDEX store_settings_pkey ON public.store_settings USING btree (id)
public,store_settings,store_settings_store_id_key,CREATE UNIQUE INDEX store_settings_store_id_key ON public.store_settings USING btree (store_id)
public,stores,stores_subdomain_idx,CREATE UNIQUE INDEX stores_subdomain_idx ON public.stores USING btree (subdomain)
public,stores,stores_pkey,CREATE UNIQUE INDEX stores_pkey ON public.stores USING btree (id)
public,stores,stores_slug_key,CREATE UNIQUE INDEX stores_slug_key ON public.stores USING btree (slug)
public,stores,idx_stores_slug,CREATE INDEX idx_stores_slug ON public.stores USING btree (slug)
public,stores,idx_stores_owner,CREATE INDEX idx_stores_owner ON public.stores USING btree (owner_id)
public,stores,idx_stores_trial_used,CREATE INDEX idx_stores_trial_used ON public.stores USING btree (trial_used) WHERE (trial_used = false)
public,stores,idx_stores_subscription_status,CREATE INDEX idx_stores_subscription_status ON public.stores USING btree (subscription_status)
public,stores,idx_stores_subscription_expires_at,CREATE INDEX idx_stores_subscription_expires_at ON public.stores USING btree (subscription_expires_at)
public,subscription_payments,subscription_payments_mercadopago_payment_id_key,CREATE UNIQUE INDEX subscription_payments_mercadopago_payment_id_key ON public.subscription_payments USING btree (mercadopago_payment_id)
public,subscription_payments,idx_subscription_payments_payment_date,CREATE INDEX idx_subscription_payments_payment_date ON public.subscription_payments USING btree (payment_date)
public,subscription_payments,idx_subscription_payments_status,CREATE INDEX idx_subscription_payments_status ON public.subscription_payments USING btree (status)
public,subscription_payments,idx_subscription_payments_mercadopago_payment_id,CREATE INDEX idx_subscription_payments_mercadopago_payment_id ON public.subscription_payments USING btree (mercadopago_payment_id)
public,subscription_payments,subscription_payments_pkey,CREATE UNIQUE INDEX subscription_payments_pkey ON public.subscription_payments USING btree (id)
public,subscription_payments,idx_subscription_payments_subscription_id,CREATE INDEX idx_subscription_payments_subscription_id ON public.subscription_payments USING btree (subscription_id)
public,subscription_plans,subscription_plans_pkey,CREATE UNIQUE INDEX subscription_plans_pkey ON public.subscription_plans USING btree (id)
public,subscription_usage,subscription_usage_subscription_id_period_start_period_end_key,"CREATE UNIQUE INDEX subscription_usage_subscription_id_period_start_period_end_key ON public.subscription_usage USING btree (subscription_id, period_start, period_end)"
public,subscription_usage,idx_subscription_usage_period,"CREATE INDEX idx_subscription_usage_period ON public.subscription_usage USING btree (period_start, period_end)"
public,subscription_usage,idx_subscription_usage_subscription_id,CREATE INDEX idx_subscription_usage_subscription_id ON public.subscription_usage USING btree (subscription_id)
public,subscription_usage,subscription_usage_pkey,CREATE UNIQUE INDEX subscription_usage_pkey ON public.subscription_usage USING btree (id)
public,subscriptions,idx_subscriptions_trial_ends_at,CREATE INDEX idx_subscriptions_trial_ends_at ON public.subscriptions USING btree (trial_ends_at)
public,subscriptions,idx_subscriptions_paid_ends_at,CREATE INDEX idx_subscriptions_paid_ends_at ON public.subscriptions USING btree (paid_ends_at)
public,subscriptions,idx_subscriptions_mercadopago_id,CREATE INDEX idx_subscriptions_mercadopago_id ON public.subscriptions USING btree (mercadopago_subscription_id)
public,subscriptions,idx_subscriptions_mp_preapproval,CREATE INDEX idx_subscriptions_mp_preapproval ON public.subscriptions USING btree (mercadopago_preapproval_id)
public,subscriptions,idx_subscriptions_next_billing,CREATE INDEX idx_subscriptions_next_billing ON public.subscriptions USING btree (next_billing_date)
public,subscriptions,subscriptions_pkey,CREATE UNIQUE INDEX subscriptions_pkey ON public.subscriptions USING btree (id)
public,subscriptions,subscriptions_store_id_key,CREATE UNIQUE INDEX subscriptions_store_id_key ON public.subscriptions USING btree (store_id)
public,subscriptions,idx_subscriptions_store_id,CREATE INDEX idx_subscriptions_store_id ON public.subscriptions USING btree (store_id)
public,subscriptions,idx_subscriptions_status,CREATE INDEX idx_subscriptions_status ON public.subscriptions USING btree (status)
public,user_subscriptions,idx_user_subscriptions_user_id,CREATE INDEX idx_user_subscriptions_user_id ON public.user_subscriptions USING btree (user_id)
public,user_subscriptions,user_subscriptions_pkey,CREATE UNIQUE INDEX user_subscriptions_pkey ON public.user_subscriptions USING btree (id)
public,user_subscriptions,user_subscriptions_mercadopago_preapproval_id_key,CREATE UNIQUE INDEX user_subscriptions_mercadopago_preapproval_id_key ON public.user_subscriptions USING btree (mercadopago_preapproval_id)
public,user_subscriptions,user_subscriptions_user_id_key,CREATE UNIQUE INDEX user_subscriptions_user_id_key ON public.user_subscriptions USING btree (user_id)
public,user_subscriptions,idx_user_subscriptions_status,CREATE INDEX idx_user_subscriptions_status ON public.user_subscriptions USING btree (status)
public,whatsapp_message_queue,whatsapp_message_queue_pkey,CREATE UNIQUE INDEX whatsapp_message_queue_pkey ON public.whatsapp_message_queue USING btree (id)
public,whatsapp_message_queue,idx_whatsapp_queue_scheduled_at,CREATE INDEX idx_whatsapp_queue_scheduled_at ON public.whatsapp_message_queue USING btree (scheduled_at)
public,whatsapp_message_queue,idx_whatsapp_queue_job_id,CREATE INDEX idx_whatsapp_queue_job_id ON public.whatsapp_message_queue USING btree (job_id)
public,whatsapp_message_queue,idx_whatsapp_queue_status,CREATE INDEX idx_whatsapp_queue_status ON public.whatsapp_message_queue USING btree (status)
public,whatsapp_message_queue,idx_whatsapp_queue_order_id,CREATE INDEX idx_whatsapp_queue_order_id ON public.whatsapp_message_queue USING btree (order_id)
public,whatsapp_message_queue,idx_whatsapp_queue_store_id,CREATE INDEX idx_whatsapp_queue_store_id ON public.whatsapp_message_queue USING btree (store_id)
public,whatsapp_message_queue,whatsapp_message_queue_job_id_key,CREATE UNIQUE INDEX whatsapp_message_queue_job_id_key ON public.whatsapp_message_queue USING btree (job_id)
public,whatsapp_webhook_events,idx_whatsapp_webhooks_phone_id,CREATE INDEX idx_whatsapp_webhooks_phone_id ON public.whatsapp_webhook_events USING btree (phone_number_id)
public,whatsapp_webhook_events,idx_whatsapp_webhooks_store_id,CREATE INDEX idx_whatsapp_webhooks_store_id ON public.whatsapp_webhook_events USING btree (store_id)
public,whatsapp_webhook_events,whatsapp_webhook_events_pkey,CREATE UNIQUE INDEX whatsapp_webhook_events_pkey ON public.whatsapp_webhook_events USING btree (id)
public,whatsapp_webhook_events,idx_whatsapp_webhooks_created_at,CREATE INDEX idx_whatsapp_webhooks_created_at ON public.whatsapp_webhook_events USING btree (created_at)
public,whatsapp_webhook_events,idx_whatsapp_webhooks_processed,CREATE INDEX idx_whatsapp_webhooks_processed ON public.whatsapp_webhook_events USING btree (processed)