schemaname,tablename,size,estado
public,checkout_sessions,10 MB,✅ DATOS
public,stores,4440 kB,✅ DATOS
public,products,3800 kB,✅ DATOS
public,categories,280 kB,✅ DATOS
public,payments,248 kB,✅ DATOS
public,subscriptions,192 kB,✅ DATOS
public,store_settings,128 kB,✅ DATOS
public,orders,128 kB,✅ DATOS
public,subscription_payments,112 kB,✅ DATOS
public,order_items,104 kB,✅ DATOS
public,mp_accounts,96 kB,🟡 PEQUEÑA
public,user_subscriptions,96 kB,🟡 PEQUEÑA
public,push_subscriptions,80 kB,🟡 PEQUEÑA
public,whatsapp_message_queue,64 kB,🟡 PEQUEÑA
public,whatsapp_webhook_events,48 kB,🟡 PEQUEÑA
public,subscription_usage,40 kB,🟡 PEQUEÑA
public,product_options,40 kB,🟡 PEQUEÑA
public,subscription_plans,32 kB,🟡 PEQUEÑA
public,product_option_values,24 kB,🟡 PEQUEÑA