nspname,typname,description
public,categories,null
public,checkout_sessions,null
public,delivery_type,null
public,mp_accounts,null
public,order_items,null
public,order_status,null
public,orders,null
public,payment_frequency,null
public,payment_status,null
public,payments,null
public,product_option_values,null
public,product_options,null
public,products,null
public,providers,null
public,push_subscriptions,null
public,store_settings,null
public,stores,null
public,subscription_payment_status,null
public,subscription_payments,null
public,subscription_plans,null
public,subscription_status,null
public,subscription_usage,null
public,subscriptions,null
public,user_subscriptions,null
public,whatsapp_message_queue,null
public,whatsapp_webhook_events,null