trigger_schema,trigger_name,event_manipulation,event_object_table,action_statement
public,update_categories_updated_at,UPDATE,categories,EXECUTE FUNCTION update_updated_at_column()
public,trg_mp_accounts_updated_at,UPDATE,mp_accounts,EXECUTE FUNCTION set_updated_at()
public,trg_touch_payments,UPDATE,payments,EXECUTE FUNCTION touch_updated_at()
public,update_push_subscriptions_updated_at,UPDATE,push_subscriptions,EXECUTE FUNCTION update_push_subscriptions_updated_at()
public,subscription_payments_updated_at,UPDATE,subscription_payments,EXECUTE FUNCTION update_subscription_updated_at()
public,subscription_plans_updated_at,UPDATE,subscription_plans,EXECUTE FUNCTION update_subscription_updated_at()
public,sync_store_subscription_after_update,UPDATE,subscriptions,EXECUTE FUNCTION sync_store_subscription_status()
public,sync_store_subscription_after_insert,INSERT,subscriptions,EXECUTE FUNCTION sync_store_subscription_status()
public,subscriptions_updated_at,UPDATE,subscriptions,EXECUTE FUNCTION update_subscription_updated_at()
public,trigger_sync_subscription_status,UPDATE,subscriptions,EXECUTE FUNCTION sync_store_subscription_status()
public,update_user_subscriptions_updated_at,UPDATE,user_subscriptions,EXECUTE FUNCTION update_user_subscriptions_updated_at()
public,update_whatsapp_queue_updated_at,UPDATE,whatsapp_message_queue,EXECUTE FUNCTION update_whatsapp_queue_updated_at()